#AC.SeqVer.	EntryVer.	Ver.Date	Taxid	Description
AY596297.1	1	1	1	Haloarcula marismortui ATCC 43039 chromosome I
CP000828.1	6	20140516	329726	Acaryochloris marina MBIC11017
HF677570.1	3	20150227	1266844	Acetobacter pasteurianus 386B
AP011121.1	2	20140713	634452	Acetobacter pasteurianus IFO 3283-01
AP011163.1	3	20140824	634458	Acetobacter pasteurianus IFO 3283-01-42C
AP011128.1	2	20140713	634453	Acetobacter pasteurianus IFO 3283-03
AP011135.1	2	20140713	634454	Acetobacter pasteurianus IFO 3283-07
AP011170.1	2	20140713	634459	Acetobacter pasteurianus IFO 3283-12
AP011142.1	2	20140713	634455	Acetobacter pasteurianus IFO 3283-22
AP011149.1	2	20140713	634456	Acetobacter pasteurianus IFO 3283-26
AP011156.1	2	20140713	634457	Acetobacter pasteurianus IFO 3283-32
CP002987.1	6	20150109	931626	Acetobacterium woodii DSM 1030
CP002105.1	5	20140109	574087	Acetohalobium arabaticum DSM 5501
CP000896.1	8	20140515	441768	Acholeplasma laidlawii PG-8A
LK028559.1	1	20140602	35623	Acholeplasma oculi
CP002287.1	5	20140515	762376	Achromobacter xylosoxidans A8
CP009448.1	1	20140928	562971	Achromobacter xylosoxidans C54
CP006958.1	4	20150417	1216976	Achromobacter xylosoxidans NBRC 15126 = ATCC 27061
HE798385.1	3	20150307	1167634	Achromobacter xylosoxidans NH44784-1996
CP001859.1	6	20140515	591001	Acidaminococcus fermentans DSM 20731
CP003058.1	5	20140515	568816	Acidaminococcus intestini RyC-MR95
CP001631.1	5	20140515	525909	Acidimicrobium ferrooxidans DSM 10331
CP000697.1	7	20140515	349163	Acidiphilium cryptum JF-5
AP012035.1	2	20110603	926570	Acidiphilium multivorum AIU301
CP002573.1	4	20140515	990288	Acidithiobacillus caldus SM-1
CP002985.1	3	20111010	743299	Acidithiobacillus ferrivorans SS3
CP001219.1	6	20140515	243159	Acidithiobacillus ferrooxidans ATCC 23270
CP001132.1	5	20140515	380394	Acidithiobacillus ferrooxidans ATCC 53993
CP001472.1	5	20140515	240015	Acidobacterium capsulatum ATCC 51196
CP000481.1	12	20140515	351607	Acidothermus cellulolyticus 11B
CP002521.1	6	20140515	643561	Acidovorax avenae subsp. avenae ATCC 19860
CP000512.1	9	20140515	397945	Acidovorax citrulli AAC00-1
CP001392.1	4	20140102	535289	Acidovorax ebreus TPSY
CP000539.1	8	20140515	232721	Acidovorax sp. JS42
CP003872.1	5	20140515	358220	Acidovorax sp. KKS102
AP014649.1	1	20141002	470	Acinetobacter baumannii DNA, complete genome, strain: IOMTU 433
CU459141.1	3	20150227	470	Acinetobacter baumannii str. AYE
CP008706.1	1	20150329	470	Acinetobacter baumannii strain AB5075-UW
CP009257.1	2	20140904	470	Acinetobacter baumannii strain AB030
CP009256.1	2	20140904	470	Acinetobacter baumannii strain AB031
CP009534.1	2	20150409	470	Acinetobacter baumannii strain AbH12O-A2
CP010397.1	1	20150106	470	Acinetobacter baumannii strain 6200
CP010368.1	1	20150106	470	Acinetobacter baumannii strain 6411
CP001921.1	5	20140515	696749	Acinetobacter baumannii 1656-2
CP001182.1	5	20140515	480119	Acinetobacter baumannii AB0057
CP001172.1	6	20140515	557600	Acinetobacter baumannii AB307-0294
CP007549.1	3	20140515	1198108	Acinetobacter baumannii AC12
CP007577.1	5	20150220	1224747	Acinetobacter baumannii AC30
CP000863.1	6	20140515	405416	Acinetobacter baumannii ACICU
CP000521.1	9	20140515	400667	Acinetobacter baumannii ATCC 17978
CP003847.1	4	20140516	1096996	Acinetobacter baumannii BJAB0715
CP003849.1	4	20140516	1096997	Acinetobacter baumannii BJAB0868
CP003846.1	4	20140516	1096995	Acinetobacter baumannii BJAB07104
CP003967.2	6	20141002	945556	Acinetobacter baumannii D1279779
CP007712.1	3	20150314	1455315	Acinetobacter baumannii LAC-4
CP003500.1	5	20140515	889738	Acinetobacter baumannii MDR-TJ
CP001937.1	6	20150211	497978	Acinetobacter baumannii MDR-ZJ06
AP013357.1	2	20140501	1401639	Acinetobacter baumannii NCGM 237
CU468230.2	5	20150227	509170	Acinetobacter baumannii SDF
CP002522.2	7	20140515	980514	Acinetobacter baumannii TCDC-AB0715
