"Species_Metadata","MDS_V1","MDS_V2","Description","Bacteria","Target","Phyla","Class","Min_Distance","Min_Name","Groups","Min_Groups"
"Acaryochloris_marina_Cyanobacteria_Synechococcales_Other",-7.52462306191906,-1.82389049260982,"Acaryochloris_marina_Cyanobacteria_Synechococcales_Other","A. marina","Other","Cyanobacteria","Synechococcales",28.54755,"Bacillus_subtilis_Firmicutes_Bacilli_Structural","Others","Others"
"Acetobacter_pasteurianus_Proteobacteria_Alphaproteobacteria_Other",10.1184002704354,19.2571796348173,"Acetobacter_pasteurianus_Proteobacteria_Alphaproteobacteria_Other","A. pasteurianus","Other","Proteobacteria","Alphaproteobacteria",36.88108,"Acinetobacter_baumannii_Proteobacteria_Gammaproteobacteria_Structural","Alphaproteobacteria","Alphaproteobacteria (N=193)"
"Acetobacterium_woodii_Firmicutes_Clostridia_Other",-10.4714761221544,1.4231552722364,"Acetobacterium_woodii_Firmicutes_Clostridia_Other","A. woodii","Other","Firmicutes","Clostridia",21.58147,"Listeria_monocytogenes_Firmicutes_Bacilli_Structural","Firmicutes","Firmicutes (N=264)"
"Acetohalobium_arabaticum_Firmicutes_Clostridia_Other",-8.8445858434241,0.513147985450664,"Acetohalobium_arabaticum_Firmicutes_Clostridia_Other","A. arabaticum","Other","Firmicutes","Clostridia",23.17958,"Bacillus_subtilis_Firmicutes_Bacilli_Structural","Firmicutes","Firmicutes (N=264)"
"Acholeplasma_laidlawii_Tenericutes_Mollicutes_Other",-8.42820682703594,3.56830975485063,"Acholeplasma_laidlawii_Tenericutes_Mollicutes_Other","A. laidlawii","Other","Tenericutes","Mollicutes",24.20559,"Staphylococcus_aureus_Firmicutes_Bacilli_Structural","Others","Others"
"Acholeplasma_oculi_Tenericutes_Mollicutes_Other",-8.38785641201906,3.57160839348549,"Acholeplasma_oculi_Tenericutes_Mollicutes_Other","A. oculi","Other","Tenericutes","Mollicutes",23.98821,"Staphylococcus_aureus_Firmicutes_Bacilli_Structural","Others","Others"
"Achromobacter_xylosoxidans_Proteobacteria_Betaproteobacteria_Other",17.613325275278,-6.18872839636564,"Achromobacter_xylosoxidans_Proteobacteria_Betaproteobacteria_Other","A. xylosoxidans","Other","Proteobacteria","Betaproteobacteria",20.85145,"Acinetobacter_baumannii_Proteobacteria_Gammaproteobacteria_Structural","Betaproteobacteria","Betaproteobacteria (N=85)"
"Acidaminococcus_fermentans_Firmicutes_Negativicutes_Other",-9.34639419197482,1.44778448486104,"Acidaminococcus_fermentans_Firmicutes_Negativicutes_Other","A. fermentans","Other","Firmicutes","Negativicutes",23.06403,"Bacillus_subtilis_Firmicutes_Bacilli_Structural","Firmicutes","Firmicutes (N=264)"
"Acidaminococcus_intestini_Firmicutes_Negativicutes_Other",-9.38881171374458,1.43306708138612,"Acidaminococcus_intestini_Firmicutes_Negativicutes_Other","A. intestini","Other","Firmicutes","Negativicutes",23.24657,"Bacillus_subtilis_Firmicutes_Bacilli_Structural","Firmicutes","Firmicutes (N=264)"
"Acidimicrobium_ferrooxidans_Actinobacteria_Acidimicrobiia_Other",-11.4451513386435,-5.2291211675128,"Acidimicrobium_ferrooxidans_Actinobacteria_Acidimicrobiia_Other","A. ferrooxidans","Other","Actinobacteria","Acidimicrobiia",27.24056,"Mycobacterium_smegmatis_Actinobacteria_Corynebacteriales_Structural","Actinobacteria","Actinobacteria (N=193)"
